player,player_id,position,team_name,player_game_count,base_dropbacks,blitz_attempts,blitz_completion_percent,blitz_accuracy_percent,blitz_ypa,blitz_big_time_throws,blitz_btt_rate,blitz_turnover_worthy_plays,blitz_twp_rate,blitz_interceptions,blitz_touchdowns,blitz_avg_depth_of_target,blitz_avg_time_to_throw,blitz_def_gen_pressures,blitz_pressure_to_sack_rate,blitz_sack_percent,blitz_qb_rating,no_blitz_attempts,no_blitz_completion_percent,no_blitz_accuracy_percent,no_blitz_ypa,no_blitz_big_time_throws,no_blitz_btt_rate,no_blitz_turnover_worthy_plays,no_blitz_twp_rate,no_blitz_interceptions,no_blitz_touchdowns,no_blitz_avg_depth_of_target,no_blitz_avg_time_to_throw,no_blitz_def_gen_pressures,no_blitz_pressure_to_sack_rate,no_blitz_sack_percent,no_blitz_qb_rating,pressure_attempts,pressure_completion_percent,pressure_accuracy_percent,pressure_ypa,pressure_big_time_throws,pressure_btt_rate,pressure_turnover_worthy_plays,pressure_twp_rate,pressure_interceptions,pressure_touchdowns,pressure_avg_depth_of_target,pressure_avg_time_to_throw,pressure_def_gen_pressures,pressure_pressure_to_sack_rate,pressure_sack_percent,pressure_qb_rating,no_pressure_attempts,no_pressure_completion_percent,no_pressure_accuracy_percent,no_pressure_ypa,no_pressure_big_time_throws,no_pressure_btt_rate,no_pressure_turnover_worthy_plays,no_pressure_twp_rate,no_pressure_interceptions,no_pressure_touchdowns,no_pressure_avg_depth_of_target,no_pressure_avg_time_to_throw,no_pressure_def_gen_pressures,no_pressure_pressure_to_sack_rate,no_pressure_sack_percent,no_pressure_qb_rating
Israel Carter,175310,QB,USF,3,18,3,66.7,66.7,10.7,0,0.0,0,0.0,0,1,20.7,3.13,2,0.0,0.0,141.7,11,72.7,88.9,15.5,1,9.1,0,0.0,0,3,11.6,2.76,5,0.0,0.0,154.4,4,50.0,66.7,9.0,0,0.0,0,0.0,0,1,22.7,3.49,7,0.0,0.0,120.8,10,80.0,88.9,16.7,1,10.0,0,0.0,0,3,10.9,2.4,0,,0.0,158.3
Dewayne Coleman,163179,QB,ARMY,6,18,9,77.8,77.8,10.8,1,11.1,0,0.0,0,1,8.7,2.88,7,28.6,18.2,148.6,7,57.1,57.1,3.4,0,0.0,0,0.0,0,0,12.9,2.51,2,0.0,0.0,64.0,7,71.4,71.4,10.9,1,14.3,0,0.0,0,1,11.7,3.32,9,22.2,22.2,146.4,9,66.7,66.7,5.0,0,0.0,0,0.0,0,0,9.6,2.16,0,,0.0,78.5
Ryan Hilinski,71295,QB,NWESTERN,3,16,4,50.0,66.7,5.0,0,0.0,1,25.0,0,0,9.3,2.18,0,,0.0,64.6,12,58.3,72.7,8.4,1,7.7,1,7.7,1,0,13.3,2.34,4,0.0,0.0,51.0,4,75.0,100.0,11.3,1,20.0,0,0.0,0,0,14.8,2.83,4,0.0,0.0,111.5,12,50.0,60.0,6.3,0,0.0,2,16.7,1,0,11.5,2.13,0,,0.0,35.4
Lucian Anderson III,173364,QB,BOWL GREEN,4,16,2,100.0,100.0,8.5,0,0.0,0,0.0,0,0,6.5,3.05,0,,0.0,102.1,10,30.0,44.4,1.5,0,0.0,0,0.0,1,1,6.9,3.28,7,28.6,14.3,33.3,3,0.0,0.0,0.0,0,0.0,0,0.0,0,0,11.0,3.94,7,28.6,28.6,39.6,9,55.6,66.7,3.6,0,0.0,0,0.0,1,1,5.9,2.71,0,,0.0,60.6
Michael Merdinger,183334,QB,N CAROLINA,1,16,7,71.4,71.4,3.9,0,0.0,1,9.1,1,0,2.3,2.73,5,60.0,30.0,38.1,5,80.0,80.0,11.8,0,0.0,0,0.0,0,0,14.6,3.37,3,33.3,16.7,115.8,4,50.0,50.0,4.3,0,0.0,1,12.5,1,0,8.0,3.4,8,50.0,50.0,21.9,8,87.5,87.5,8.6,0,0.0,0,0.0,0,0,7.1,2.54,0,,0.0,102.6
Amari Jones,156543,QB,FIU,3,16,2,50.0,100.0,7.5,0,0.0,0,0.0,0,0,5.0,3.05,1,0.0,0.0,75.0,10,60.0,60.0,8.4,1,8.3,1,5.9,1,1,7.0,2.88,5,20.0,7.1,80.8,5,60.0,60.0,10.4,0,0.0,1,14.3,1,1,4.0,2.75,6,16.7,16.7,95.4,7,57.1,66.7,6.7,1,12.5,0,0.0,0,0,9.2,2.99,0,,0.0,77.7
Jeremiah Salem,157478,QB,E MICHIGAN,3,15,4,100.0,100.0,25.3,0,0.0,0,0.0,0,1,6.3,2.3,1,0.0,0.0,158.3,8,62.5,62.5,3.4,0,0.0,1,8.3,1,0,5.3,2.83,4,50.0,18.2,28.6,3,66.7,66.7,30.0,0,0.0,1,20.0,1,1,10.0,3.36,5,40.0,40.0,109.7,9,77.8,77.8,4.2,0,0.0,0,0.0,0,0,4.1,2.35,0,,0.0,84.3
Cardell Williams,156190,QB,TULSA,5,15,4,25.0,25.0,4.8,0,0.0,0,0.0,0,0,16.3,2.82,3,33.3,20.0,46.9,7,57.1,80.0,2.6,0,0.0,0,0.0,0,0,8.8,2.93,3,0.0,0.0,62.2,4,0.0,0.0,0.0,0,0.0,0,0.0,0,0,11.0,3.8,6,16.7,16.7,39.6,7,71.4,71.4,5.3,0,0.0,0,0.0,0,0,12.4,2.29,0,,0.0,83.6
Ryan Boe,190878,QB,NWESTERN,1,14,8,12.5,20.0,2.3,0,0.0,2,22.2,1,0,14.8,2.84,5,20.0,11.1,0.0,5,60.0,60.0,4.8,0,0.0,0,0.0,0,0,7.8,2.7,1,0.0,0.0,72.1,5,20.0,50.0,3.6,0,0.0,1,16.7,0,0,14.0,3.15,6,16.7,16.7,42.1,8,37.5,37.5,3.0,0,0.0,1,12.5,1,0,10.6,2.53,0,,0.0,6.3
Julian Sayin,183708,QB,OHIO STATE,4,14,5,40.0,40.0,12.2,0,0.0,0,0.0,0,1,14.4,2.81,1,0.0,0.0,125.8,7,42.9,66.7,3.3,0,0.0,0,0.0,0,0,6.7,2.51,1,0.0,0.0,51.5,2,0.0,0.0,0.0,0,0.0,0,0.0,0,0,32.0,3.25,2,0.0,0.0,39.6,10,50.0,60.0,8.4,0,0.0,0,0.0,0,1,8.0,2.57,0,,0.0,112.1
Ui Ale,173036,QB,HOUSTON,2,14,3,66.7,66.7,4.0,0,0.0,0,0.0,0,1,10.3,2.2,1,0.0,0.0,113.9,10,80.0,90.0,10.0,0,0.0,0,0.0,0,0,6.3,2.36,2,50.0,9.1,108.3,2,100.0,100.0,7.5,0,0.0,0,0.0,0,0,6.5,3.8,3,33.3,33.3,97.9,11,72.7,81.8,8.8,0,0.0,0,0.0,0,1,7.4,1.93,0,,0.0,129.7
Connor Moberly,184835,QB,IOWA STATE,2,14,3,33.3,33.3,2.3,0,0.0,0,0.0,0,0,12.3,1.64,2,50.0,20.0,42.4,7,57.1,71.4,6.0,0,0.0,0,0.0,1,0,7.9,2.86,0,,0.0,35.1,1,100.0,100.0,7.0,0,0.0,0,0.0,0,0,-1.0,1.9,2,50.0,50.0,95.8,9,44.4,55.6,4.7,0,0.0,0,0.0,1,0,10.3,2.51,0,,0.0,19.0
Chayden Peery,143925,QB,FIU,1,14,5,80.0,80.0,8.8,1,14.3,0,0.0,0,1,8.6,1.97,3,33.3,16.7,142.9,7,42.9,60.0,2.0,0,0.0,0,0.0,0,0,5.6,3.45,4,0.0,0.0,50.3,5,20.0,33.3,5.6,1,14.3,0,0.0,0,1,18.0,3.73,7,14.3,14.3,90.0,7,85.7,85.7,4.3,0,0.0,0,0.0,0,0,2.4,1.9,0,,0.0,84.5
Ken Seals,124359,QB,TCU,5,14,6,66.7,100.0,8.5,0,0.0,0,0.0,0,0,2.5,1.99,2,0.0,0.0,93.1,7,85.7,100.0,6.6,0,0.0,0,0.0,0,1,-1.7,2.03,1,0.0,0.0,133.6,2,0.0,,0.0,0,0.0,0,0.0,0,0,,3.4,3,0.0,0.0,39.6,11,90.9,100.0,8.8,0,0.0,0,0.0,0,1,0.0,1.63,0,,0.0,133.7
Braden Bohannon,160367,QB,KENNESAW,1,13,1,100.0,100.0,30.0,0,0.0,0,0.0,0,0,15.0,1.45,0,,0.0,118.8,10,40.0,55.6,2.1,0,0.0,1,9.1,0,0,9.9,2.75,2,0.0,0.0,47.9,2,0.0,0.0,0.0,0,0.0,0,0.0,0,0,27.0,3.15,2,0.0,0.0,39.6,9,55.6,66.7,5.7,0,0.0,1,9.1,0,0,8.6,2.44,0,,0.0,72.0
Jake Merklinger,184888,QB,TENNESSEE,2,12,1,0.0,0.0,0.0,0,0.0,0,0.0,0,0,-3.0,3.9,1,0.0,0.0,39.6,8,75.0,100.0,6.0,0,0.0,0,0.0,0,0,5.7,2.84,4,50.0,18.2,89.6,3,0.0,50.0,0.0,0,0.0,0,0.0,0,0,3.5,3.44,5,40.0,40.0,39.6,6,100.0,100.0,8.0,0,0.0,0,0.0,0,0,5.0,2.56,0,,0.0,100.0
Roman Gagliano,183961,QB,MIDDLE TN,2,12,4,25.0,25.0,0.3,0,0.0,1,20.0,0,0,4.5,2.5,1,0.0,0.0,39.6,6,66.7,83.3,6.8,1,16.7,0,0.0,0,0,6.7,2.53,1,100.0,14.3,86.1,1,0.0,0.0,0.0,0,0.0,0,0.0,0,0,10.0,3.1,2,50.0,50.0,39.6,9,55.6,66.7,4.7,1,11.1,1,10.0,0,0,5.3,2.4,0,,0.0,67.8
Will Perry,184159,QB,UMASS,1,12,3,33.3,66.7,6.7,0,0.0,0,0.0,0,0,10.7,1.9,0,,0.0,57.6,8,75.0,85.7,6.5,0,0.0,0,0.0,0,1,10.1,2.94,4,0.0,0.0,131.3,3,100.0,100.0,8.7,0,0.0,0,0.0,0,1,8.0,4.0,4,0.0,0.0,142.4,8,50.0,71.4,5.8,0,0.0,0,0.0,0,0,11.3,2.03,0,,0.0,67.7
Ahmad Haston,173396,QB,UMASS,3,12,4,75.0,75.0,2.8,0,0.0,0,0.0,0,0,7.8,2.84,1,0.0,0.0,77.1,5,100.0,100.0,5.6,0,0.0,0,0.0,0,0,0.4,2.5,1,0.0,0.0,90.0,1,100.0,100.0,0.0,0,0.0,0,0.0,0,0,-1.0,3.8,2,0.0,0.0,79.2,8,87.5,87.5,4.9,0,0.0,0,0.0,0,0,4.3,2.41,0,,0.0,87.0
Jayden Mandal,173516,QB,FRESNO ST,4,11,1,100.0,100.0,8.0,0,0.0,0,0.0,0,0,1.0,2.75,2,50.0,50.0,100.0,8,37.5,42.9,3.9,0,0.0,2,20.0,2,0,14.6,3.39,3,0.0,0.0,9.9,4,50.0,66.7,4.0,0,0.0,1,16.7,1,0,5.3,3.28,5,20.0,20.0,20.8,5,40.0,40.0,4.6,0,0.0,1,14.3,1,0,17.4,3.27,0,,0.0,15.0
Gunnar Gray,171202,QB,BUFFALO,1,11,9,33.3,42.9,3.3,0,0.0,1,11.1,1,0,8.6,2.37,2,0.0,0.0,4.2,2,50.0,50.0,5.5,0,0.0,0,0.0,0,0,5.5,1.6,0,,0.0,66.7,2,50.0,100.0,9.0,0,0.0,0,0.0,0,0,14.0,2.75,2,0.0,0.0,81.3,9,33.3,37.5,2.6,0,0.0,1,11.1,1,0,7.1,2.11,0,,0.0,2.8
Tim Carpenter,190715,QB,TULSA,4,11,3,33.3,66.7,10.7,1,33.3,1,25.0,0,0,13.0,3.5,1,0.0,0.0,74.3,6,50.0,60.0,2.3,0,0.0,0,0.0,0,2,17.8,2.29,1,0.0,0.0,95.8,0,,,,0,,0,0.0,0,0,,5.85,2,0.0,0.0,0.0,9,44.4,62.5,5.1,1,10.0,1,9.1,0,2,16.0,2.03,0,,0.0,100.0
Bert Emanuel Jr.,158581,QB,C MICHIGAN,3,10,4,75.0,75.0,23.0,2,50.0,0,0.0,0,1,16.0,2.74,3,33.3,14.3,156.3,2,50.0,50.0,3.5,0,0.0,1,33.3,0,1,10.5,3.97,1,100.0,33.3,97.9,1,100.0,100.0,22.0,1,100.0,0,0.0,0,1,22.0,3.75,4,50.0,50.0,158.3,5,60.0,60.0,15.4,1,20.0,1,16.7,0,1,12.6,2.68,0,,0.0,143.8
Reese Poffenbarger,145346,QB,MIAMI FL,1,10,4,75.0,75.0,4.5,0,0.0,1,20.0,0,0,7.0,2.68,0,,20.0,83.3,3,100.0,100.0,0.7,0,0.0,0,0.0,0,0,-1.7,2.98,2,50.0,20.0,79.2,0,,,,0,,0,0.0,0,0,,4.7,2,50.0,50.0,0.0,7,85.7,85.7,2.9,0,0.0,1,12.5,0,0,3.3,2.36,0,,12.5,79.2
Nate Hampton,147548,QB,LIBERTY,1,10,1,0.0,0.0,0.0,0,0.0,0,0.0,0,0,-4.0,2.2,1,0.0,0.0,39.6,8,25.0,28.6,5.0,1,12.5,1,11.1,1,1,20.6,3.27,3,0.0,0.0,47.9,3,0.0,0.0,0.0,0,0.0,1,25.0,1,0,13.3,3.2,4,0.0,0.0,0.0,6,33.3,40.0,6.7,1,16.7,0,0.0,0,1,20.0,3.13,0,,0.0,97.2
Jalen Macon,153929,QB,N ILLINOIS,1,9,0,,,,0,,0,0.0,0,0,,3.0,0,,0.0,0.0,7,57.1,85.7,7.1,0,0.0,0,0.0,0,0,4.7,2.96,4,0.0,0.0,79.5,4,25.0,75.0,2.8,0,0.0,0,0.0,0,0,1.8,2.9,4,0.0,0.0,39.6,3,100.0,100.0,13.0,0,0.0,0,0.0,0,0,8.7,3.02,0,,0.0,118.8
Cameran Brown,184894,QB,TEXAS TECH,2,9,2,50.0,50.0,3.5,0,0.0,0,0.0,0,0,6.0,1.4,0,,0.0,58.3,7,42.9,42.9,0.6,0,0.0,1,14.3,1,0,4.9,1.81,0,,0.0,10.7,0,,,,0,,0,,0,0,,,0,,,0.0,9,44.4,44.4,1.2,0,0.0,1,11.1,1,0,5.1,1.72,0,,0.0,12.0
Davis Beville,99588,QB,S CAROLINA,3,9,4,100.0,100.0,10.0,0,0.0,0,0.0,0,1,4.0,2.78,3,0.0,0.0,147.9,3,33.3,66.7,2.0,0,0.0,0,0.0,0,0,20.0,3.36,2,100.0,40.0,42.4,3,100.0,100.0,9.0,0,0.0,0,0.0,0,1,3.0,3.58,5,40.0,40.0,143.8,4,50.0,75.0,4.8,0,0.0,0,0.0,0,0,16.8,2.5,0,,0.0,63.5
Dante Moore,173983,QB,OREGON,4,9,3,100.0,100.0,9.0,0,0.0,0,0.0,0,0,0.3,1.83,0,,0.0,104.2,5,80.0,100.0,4.4,0,0.0,0,0.0,0,0,0.5,2.9,2,0.0,0.0,85.0,1,0.0,,0.0,0,0.0,0,0.0,0,0,,4.5,2,0.0,0.0,39.6,7,100.0,100.0,7.0,0,0.0,0,0.0,0,0,0.4,1.99,0,,0.0,95.8
Broc Lowry,173383,QB,W MICHIGAN,5,9,3,33.3,50.0,3.0,0,0.0,0,0.0,0,0,5.0,2.38,1,100.0,25.0,42.4,3,66.7,66.7,2.3,0,0.0,0,0.0,0,0,1.0,2.68,1,0.0,0.0,70.1,0,,,,0,,0,0.0,0,0,,3.25,2,50.0,50.0,0.0,6,50.0,60.0,2.7,0,0.0,0,0.0,0,0,2.6,2.34,0,,0.0,56.3
JD Sherrod,172365,QB,KENT STATE,2,9,2,50.0,50.0,2.5,0,0.0,1,33.3,0,0,5.5,3.1,2,0.0,0.0,56.3,5,20.0,25.0,2.6,0,0.0,0,0.0,0,0,21.0,2.2,3,33.3,16.7,39.6,3,33.3,50.0,4.3,0,0.0,1,20.0,0,0,8.0,2.7,5,20.0,20.0,47.9,4,25.0,25.0,1.3,0,0.0,0,0.0,0,0,19.8,2.25,0,,0.0,39.6
Brady Lichtenberg,144226,QB,CINCINNATI,2,9,3,33.3,33.3,2.3,0,0.0,0,0.0,0,0,13.0,3.38,1,100.0,25.0,42.4,2,100.0,100.0,9.0,0,0.0,0,0.0,0,0,5.0,3.24,2,100.0,40.0,104.2,0,,,,0,,0,0.0,0,0,,3.03,3,100.0,100.0,0.0,5,60.0,60.0,5.0,0,0.0,0,0.0,0,0,9.8,3.43,0,,0.0,72.9
Cole Pennington,156787,QB,MARSHALL,2,8,4,75.0,75.0,10.8,0,0.0,1,14.3,0,1,10.5,2.7,2,0.0,0.0,149.0,3,66.7,66.7,4.7,0,0.0,0,0.0,0,0,1.3,1.77,0,,0.0,77.1,1,100.0,100.0,16.0,0,0.0,0,0.0,0,1,23.0,3.8,2,0.0,0.0,158.3,6,66.7,66.7,6.8,0,0.0,1,14.3,0,0,3.8,1.87,0,,0.0,86.1
John-Keawe Sagapolutele,175709,QB,HAWAII,2,8,1,100.0,100.0,13.0,0,0.0,0,0.0,0,0,-1.0,2.45,1,100.0,50.0,118.8,6,50.0,50.0,4.8,1,16.7,1,16.7,2,0,14.0,2.23,1,0.0,0.0,24.3,1,0.0,0.0,0.0,0,0.0,0,0.0,0,0,32.0,2.75,2,50.0,50.0,39.6,6,66.7,66.7,7.0,1,16.7,1,16.7,2,0,8.5,2.13,0,,0.0,47.2
Rickie Collins,172474,QB,LSU,3,8,2,100.0,100.0,5.0,0,0.0,0,0.0,0,0,-2.0,1.6,0,,0.0,87.5,3,100.0,100.0,8.3,0,0.0,0,0.0,0,0,5.7,2.93,2,0.0,0.0,101.4,0,,,,0,,0,0.0,0,0,,4.4,2,0.0,0.0,0.0,5,100.0,100.0,7.0,0,0.0,0,0.0,0,0,2.6,2.0,0,,0.0,95.8
Kyle Lowe,156595,QB,GA STATE,2,8,3,33.3,50.0,2.0,0,0.0,0,0.0,0,1,12.5,3.23,3,0.0,0.0,81.9,4,50.0,75.0,3.0,0,0.0,1,16.7,0,0,15.0,2.84,2,50.0,20.0,56.3,4,25.0,66.7,1.5,0,0.0,1,20.0,0,1,16.3,3.38,5,20.0,20.0,79.2,3,66.7,66.7,4.0,0,0.0,0,0.0,0,0,12.0,2.33,0,,0.0,74.3
Lex Thomas,170381,QB,NC STATE,2,8,1,0.0,0.0,0.0,0,0.0,1,100.0,1,0,6.0,2.2,1,0.0,0.0,0.0,7,71.4,71.4,9.3,0,0.0,0,0.0,0,1,8.1,2.11,1,0.0,0.0,139.9,2,50.0,50.0,7.0,0,0.0,1,50.0,1,0,5.5,2.4,2,0.0,0.0,33.3,6,66.7,66.7,8.5,0,0.0,0,0.0,0,1,8.7,2.03,0,,0.0,132.6
Cameron Edge,162791,QB,MARYLAND,2,8,4,75.0,100.0,8.3,0,0.0,0,0.0,0,0,7.7,1.78,0,,0.0,99.0,4,50.0,50.0,8.5,0,0.0,0,0.0,0,1,6.3,1.78,1,0.0,0.0,118.8,1,0.0,0.0,0.0,0,0.0,0,0.0,0,0,10.0,2.3,1,0.0,0.0,39.6,7,71.4,83.3,9.6,0,0.0,0,0.0,0,1,6.3,1.7,0,,0.0,141.1
Ryan Staub,171906,QB,COLORADO,3,7,1,0.0,,0.0,0,0.0,0,0.0,0,0,,2.4,1,0.0,0.0,39.6,3,0.0,0.0,0.0,0,0.0,0,0.0,0,0,10.3,2.58,3,33.3,16.7,39.6,1,0.0,,0.0,0,0.0,0,0.0,0,0,,3.15,4,25.0,25.0,39.6,3,0.0,0.0,0.0,0,0.0,0,0.0,0,0,10.3,1.77,0,,0.0,39.6
Michael Johnson Jr.,97796,QB,SYRACUSE,1,7,0,,,,0,,0,0.0,0,0,,2.75,2,100.0,100.0,0.0,3,66.7,66.7,10.3,1,33.3,0,0.0,0,0,21.7,4.48,2,0.0,0.0,100.7,1,100.0,100.0,19.0,1,100.0,0,0.0,0,0,19.0,4.0,4,50.0,50.0,118.8,2,50.0,50.0,6.0,0,0.0,0,0.0,0,0,23.0,3.97,0,,0.0,68.8
Ta'Quan Roberson,101625,QB,KANSAS ST,3,7,2,50.0,100.0,7.0,0,0.0,0,0.0,0,0,7.5,2.3,1,0.0,0.0,72.9,5,40.0,40.0,0.8,0,0.0,0,0.0,0,0,6.2,2.96,2,0.0,0.0,47.9,3,33.3,33.3,4.7,0,0.0,0,0.0,0,0,10.7,4.0,3,0.0,0.0,49.3,4,50.0,75.0,1.0,0,0.0,0,0.0,0,0,3.5,1.85,0,,0.0,56.3
Dylan Lonergan,172386,QB,ALABAMA,2,7,2,100.0,100.0,3.0,0,0.0,0,0.0,0,0,3.0,2.7,2,0.0,0.0,79.2,4,75.0,75.0,4.3,0,0.0,0,0.0,0,0,3.0,1.8,1,0.0,0.0,82.3,2,50.0,50.0,0.5,0,0.0,0,0.0,0,0,2.0,2.87,3,0.0,0.0,56.3,4,100.0,100.0,5.5,0,0.0,0,0.0,0,0,3.5,1.68,0,,0.0,89.6
Jackson Brousseau,173480,QB,COLO STATE,1,7,0,,,,0,,0,,0,0,,,0,,,0.0,6,50.0,80.0,2.5,0,0.0,1,14.3,1,0,2.8,3.11,2,0.0,0.0,16.7,2,0.0,0.0,0.0,0,0.0,1,50.0,1,0,24.0,3.55,2,0.0,0.0,0.0,4,75.0,100.0,3.8,0,0.0,0,0.0,0,0,-2.5,2.94,0,,0.0,80.2
Cole Ballard,173062,QB,KANSAS,1,7,2,100.0,100.0,9.0,0,0.0,0,0.0,0,1,7.5,2.95,0,,0.0,143.8,4,75.0,75.0,8.3,0,0.0,0,0.0,0,0,7.3,3.12,0,,0.0,99.0,0,,,,0,,0,,0,0,,,0,,,0.0,6,83.3,83.3,8.5,0,0.0,0,0.0,0,1,7.3,3.07,0,,0.0,141.7
Aidan Leffler,163088,QB,BALL ST,2,6,2,50.0,100.0,2.5,0,0.0,0,0.0,0,0,5.0,1.45,1,0.0,0.0,56.3,4,25.0,50.0,0.3,0,0.0,0,0.0,0,0,13.0,2.18,1,0.0,0.0,39.6,2,50.0,100.0,2.5,0,0.0,0,0.0,0,0,5.0,2.5,2,0.0,0.0,56.3,4,25.0,50.0,0.3,0,0.0,0,0.0,0,0,13.0,1.65,0,,0.0,39.6
Haden Carlson,123620,QB,FIU,1,6,0,,,,0,,0,,0,0,,,0,,,0.0,6,66.7,66.7,6.2,0,0.0,2,33.3,2,0,5.0,2.32,1,0.0,0.0,43.8,1,100.0,100.0,16.0,0,0.0,0,0.0,0,0,6.0,2.1,1,0.0,0.0,118.8,5,60.0,60.0,4.2,0,0.0,2,40.0,2,0,4.8,2.36,0,,0.0,30.0
Kiael Kelly,145634,QB,BALL ST,5,6,2,50.0,100.0,-1.5,0,0.0,0,0.0,0,0,-4.0,2.3,1,0.0,0.0,56.3,3,66.7,66.7,5.3,0,0.0,0,0.0,0,0,0.3,2.7,1,100.0,25.0,79.9,1,0.0,,0.0,0,0.0,0,0.0,0,0,,2.95,2,50.0,50.0,39.6,4,75.0,75.0,3.3,0,0.0,0,0.0,0,0,-0.8,2.38,0,,0.0,78.1
Keldric Luster,175287,QB,SMU,3,6,2,0.0,0.0,0.0,0,0.0,1,33.3,0,0,37.0,2.37,1,100.0,33.3,39.6,1,100.0,100.0,0.0,0,0.0,0,0.0,0,0,-4.0,4.87,2,0.0,0.0,79.2,0,,,,0,0.0,0,0.0,0,0,,5.53,3,33.3,33.3,0.0,3,33.3,33.3,0.0,0,0.0,1,33.3,0,0,23.3,1.7,0,,0.0,42.4
Cameron Friel,146195,QB,UNLV,4,6,3,100.0,100.0,13.0,0,0.0,0,0.0,0,0,12.3,2.27,1,0.0,0.0,118.8,3,66.7,100.0,8.3,0,0.0,0,0.0,0,0,4.3,3.03,1,0.0,0.0,92.4,2,100.0,100.0,9.0,0,0.0,0,0.0,0,0,7.0,3.0,2,0.0,0.0,104.2,4,75.0,100.0,11.5,0,0.0,0,0.0,0,0,9.0,2.48,0,,0.0,112.5
Jacobe Robinson,174006,QB,BOSTON COL,1,6,1,0.0,100.0,0.0,0,0.0,0,0.0,0,0,7.0,2.4,1,0.0,0.0,39.6,2,100.0,100.0,11.5,0,0.0,0,0.0,0,0,6.0,2.58,2,100.0,40.0,114.6,1,0.0,100.0,0.0,0,0.0,0,0.0,0,0,7.0,3.53,3,33.3,33.3,39.6,2,100.0,100.0,11.5,0,0.0,0,0.0,0,0,6.0,1.57,0,,33.3,114.6
Landry Lyddy,156581,QB,UAB,2,6,1,0.0,0.0,0.0,0,0.0,0,0.0,0,0,24.0,1.8,1,0.0,0.0,39.6,4,25.0,75.0,0.0,0,0.0,0,0.0,0,0,3.8,2.68,1,0.0,0.0,39.6,2,50.0,50.0,0.0,0,0.0,0,0.0,0,0,12.0,2.3,2,0.0,0.0,56.3,3,0.0,66.7,0.0,0,0.0,0,0.0,0,0,5.0,2.65,0,,0.0,39.6
Jacob Conover,70963,QB,UTAH ST,1,6,0,,,,0,,0,,0,0,,,0,,,0.0,4,50.0,66.7,5.5,0,0.0,0,0.0,0,0,-0.7,2.73,4,25.0,16.7,66.7,2,100.0,100.0,11.0,0,0.0,0,0.0,0,0,0.5,3.4,4,25.0,25.0,112.5,2,0.0,0.0,0.0,0,0.0,0,0.0,0,0,-3.0,1.4,0,,0.0,39.6
Walker White,184413,QB,AUBURN,1,6,2,0.0,0.0,0.0,0,0.0,0,0.0,0,0,9.0,1.55,0,,0.0,39.6,3,66.7,66.7,6.0,0,0.0,1,25.0,0,0,10.7,2.45,0,,0.0,82.6,0,,,,0,,0,,0,0,,,0,,,0.0,5,40.0,40.0,3.6,0,0.0,1,16.7,0,0,10.0,2.15,0,,0.0,50.4
Drake Lindsey,184727,QB,MINNESOTA,2,6,2,100.0,100.0,9.0,0,0.0,0,0.0,0,1,8.0,2.9,0,,0.0,143.8,3,66.7,100.0,10.7,0,0.0,0,0.0,0,0,10.0,2.63,0,,0.0,102.1,0,,,,0,,0,,0,0,,,0,,,0.0,5,80.0,100.0,10.0,0,0.0,0,0.0,0,1,9.0,2.77,0,,0.0,147.9
Miles O'Neill,191260,QB,TEXAS A&M,1,6,1,100.0,100.0,13.0,0,0.0,0,0.0,0,0,12.0,3.2,0,,0.0,118.8,5,80.0,80.0,7.6,0,0.0,0,0.0,0,1,6.6,2.56,1,0.0,0.0,137.9,1,100.0,100.0,17.0,0,0.0,0,0.0,0,0,13.0,3.1,1,0.0,0.0,118.8,5,80.0,80.0,6.8,0,0.0,0,0.0,0,1,6.4,2.58,0,,0.0,134.6
Trey Owens,184514,QB,TEXAS,1,5,1,100.0,100.0,16.0,0,0.0,0,0.0,0,0,12.0,2.7,1,0.0,0.0,118.8,3,33.3,100.0,1.0,0,0.0,0,0.0,0,0,1.0,1.7,0,,0.0,42.4,0,,,,0,,0,0.0,0,0,,3.2,1,0.0,0.0,0.0,4,50.0,100.0,4.8,0,0.0,0,0.0,0,0,4.7,1.83,0,,0.0,63.5
Harrison Barker,121479,QB,UAB,3,5,2,100.0,100.0,14.5,0,0.0,0,0.0,0,0,7.0,2.55,0,,0.0,118.8,3,100.0,100.0,9.3,0,0.0,0,0.0,0,1,-4.3,0.93,0,,0.0,145.1,0,,,,0,,0,,0,0,,,0,,,0.0,5,100.0,100.0,11.4,0,0.0,0,0.0,0,1,0.2,1.58,0,,0.0,153.8
Jacob Knuth,157493,QB,KANSAS ST,2,5,0,,,,0,,1,100.0,0,0,,4.7,0,,0.0,0.0,2,100.0,100.0,9.0,0,0.0,0,0.0,0,0,3.5,3.03,1,0.0,0.0,104.2,1,100.0,100.0,9.0,0,0.0,0,0.0,0,0,5.0,2.0,1,0.0,0.0,104.2,1,100.0,100.0,9.0,0,0.0,1,25.0,0,0,2.0,3.7,0,,0.0,104.2
Trent Pearman,156233,QB,CLEMSON,3,5,1,100.0,100.0,4.0,0,0.0,0,0.0,0,0,4.0,1.5,1,0.0,0.0,83.3,4,25.0,25.0,1.0,0,0.0,0,0.0,1,0,7.5,1.83,1,0.0,0.0,0.0,2,50.0,50.0,2.0,0,0.0,0,0.0,0,0,15.0,1.75,2,0.0,0.0,56.3,3,33.3,33.3,1.3,0,0.0,0,0.0,1,0,1.3,1.77,0,,0.0,2.8
